,percentage_population_age_range_60_more,percentage_urban_population,demographic_density,percentage_male_population,percentage_indigenous_population,per_capita_income,gini,percentage_estimated_households_in_informal_settlements,demographic_density_in_informal_settlements,percentage_hospitalizations_diseases_inadequate_sanitation,percentage_self_employed_workers,unemployment_rate,percentage_workers_commerce,percentage_workers_services,percentage_workers_industry,expected_years_of_schooling_at_age_18
1701,-0.5787614224105384,0.42901628891363264,-0.067237817232996,-0.9842046426841894,-0.1886347234863169,-0.8079889199698821,-0.06627037982512723,-0.23167089155687054,-0.17494943096987337,0.1096598269933167,-0.38229455782897914,0.6238012614123903,1.4841714387543437,0.24893254329747536,-0.1913733437489452,0.16994668102142924
1702,-0.12279442860606692,-0.8605161876343601,-0.13694367885073686,-0.39439362715507564,-0.19061511626119487,-1.084762543954124,-0.36903398855783887,-0.23167089155687054,-0.17494943096987337,-0.5379661273464327,-0.8360297956762054,0.6943789174192908,-0.7946429541836288,-0.057112966836796425,-0.9238389104931517,-0.02132749674880647
1703,-0.6073961138683955,-1.853478256041909,-0.1545714123830385,-0.2865787103379292,0.1440042557363512,-1.261512386516339,1.1447840551057178,-0.23167089155687054,-0.17494943096987337,2.5366434698346367,-0.5741423429590143,-1.3602150685593728,-1.110136181891177,-1.0585118786731993,-1.002357424539238,-0.986806679779515
1704,-1.2401860837436698,1.3200879678613426,-0.02658165540397681,-0.9144420494495633,0.08940880473782012,-1.0764889719105735,-0.5204157929241939,0.39068631716644,-0.17494943096987337,-0.20231945333646284,-1.0126515661133804,2.66009733657445,-0.002505281738058551,0.2545583798808256,1.0952085935490712,0.06064715086700837
1705,-1.070264750832599,1.2317016451841822,0.03171901230133289,-1.472542795326576,-0.15879388440763548,-0.9751068428396058,-0.06627037982512723,-0.23167089155687054,-0.17494943096987337,-0.32926274671202843,-1.0938569778086336,3.073107323577794,0.24262614698435286,0.8790262406327404,0.5624043910934844,-0.6406915009571861
1706,-0.1945350804379907,-0.9585566409140419,-0.1461013786686595,-0.5846552450676957,-0.18905517764988633,-1.0783412641591295,0.6906386420066519,-0.23167089155687054,-0.17494943096987337,-0.1291656910522387,-0.6797093781628435,0.20817728714953068,-1.3938531132828569,-0.36540881160440797,-0.9406643063601701,-0.4676339115460215
1707,-0.9116365523032902,-1.2502292153189798,-0.055497176440787485,-0.7685748090498921,-0.1957740941258979,-1.303703487733449,-0.06627037982512723,-0.23167089155687054,-0.17494943096987337,-0.3744459528287551,-0.2330796138389519,2.061494254145552,-0.6357614726042883,-0.762592874388959,-0.8643891784296861,-0.0031109083897352466
1708,-1.2436298671545347,0.8604105754941438,-0.09357039729552083,-1.0920195595013402,-0.16734000879703478,-1.0709732572148734,-0.21765218419148305,-0.23167089155687054,1.7507450215211477,-0.44114497138201836,-1.2948403717543846,2.479732215667926,-0.190893324182134,0.36032410764781625,-0.4572145984478379,-1.1871891517292856
1709,-1.271965319852801,-0.13840751881038904,-0.11663237028021613,-0.22950022496414185,-0.09668516349202332,-1.043847466286019,0.8420204463730078,1.542840796322338,0.41158486969783287,-0.44329655262567197,-0.7923818868900069,0.7074488537168647,-0.7061232715894248,-0.5184315666715437,-0.6894050614126935,-1.2327306226269612
1710,-0.9290447889513437,0.22158229798911086,-0.010211847670840357,-1.3710699324398443,-0.17217915549849308,-0.9009739908473959,0.8420204463730078,-0.23167089155687054,-0.17494943096987337,-0.3959617652652916,-0.26150150793229054,0.18726538907341195,1.8064738728152925,-0.019982445386682392,-0.6187383987712157,-0.7317744427525357
1711,-1.235463915827743,-0.7436700496222766,-0.1518878373448194,-0.40073568108549945,-0.12949028102891683,-1.1581956410968792,0.6906386420066519,-0.23167089155687054,-0.17494943096987337,0.9315638620690121,-1.2055144188896063,0.3859284207965399,-1.1260243300491108,-0.7648432090222992,-0.8363468519846552,-1.396679917858591
1712,-0.8724023779523046,-1.7946959571689156,-0.13254932472565312,0.11297068727856892,-0.18449702126460132,-1.4066086126532296,1.4475476638384293,-0.23167089155687054,-0.17494943096987337,0.09244717704408745,-1.7506057448939918,-1.3811269666354915,-1.9113527961412808,-1.8765085178923735,-0.9126219799151392,-0.11241043854415612
1713,-0.8054803793968417,-1.6073401661120958,-0.09117195210511252,-0.7495486472586296,-0.1762036652394019,-1.227265560943036,0.9934022507393635,-0.23167089155687054,-0.17494943096987337,-0.31850484049376016,-1.0359981219757657,-0.11595713303030944,-1.1918466581319807,-1.2801698400572123,-0.8486854756204688,-0.3492260872120658
1714,-0.9234125995904173,-0.034611865406052315,-0.09695841078127243,-0.29292076426834857,-0.18724190375556518,-1.0940240051969041,0.8420204463730078,-0.23167089155687054,-0.17494943096987337,-0.4519028776002866,0.08260642412634397,0.07224994965475891,0.02927101457780932,-0.13812501363704463,-0.8105479116552269,-1.0869979157544012
1715,-1.0250291086852261,-0.022278801571341676,-0.00467697415451349,-0.46415622038970167,-0.18824735416606528,-1.26760436991159,1.4475476638384293,-0.23167089155687054,-0.17494943096987337,-0.4045680902399062,-1.798313924264953,0.3597885482013911,-1.0942480337332428,-0.5915674422551014,-0.8430770103314627,0.2792462111758485
1716,-0.41833823660535935,0.43254296506082035,0.07155332927489749,-1.4598586874657329,0.7991404885260308,-0.4197484646725342,0.9934022507393635,-0.07324853462627817,-0.17494943096987337,0.14408512689177516,0.28460488571828557,0.46696202584149954,1.236770274580799,1.0613033459332988,-0.5200294096847071,0.23370474027817448
1717,-0.7395392485076941,-0.8435031427656534,-0.13662500431494834,-0.45781416645928236,-0.12061885473769367,-1.1073193473365397,1.1447840551057178,-0.23167089155687054,-0.17494943096987337,0.004232346054287771,-0.6969655281480845,0.4538920895439256,-0.047899990760727575,-0.07061497463683793,-0.8531722478516738,0.825743861947948
1718,-0.8408791668067511,-1.6598056491644786,-0.12500176993066192,0.08760247155688713,8.939305544393106,-1.161653253294184,0.0851114245412286,-0.23167089155687054,-0.17494943096987337,-0.38950702153433064,-0.8766325015238317,-0.9158372344418501,-0.22266962049800226,-1.4939516302245341,-0.8374685450424565,0.01510567996933436
1719,-1.1561758261893982,1.123206133739294,0.05545187904558297,-0.946152319101669,-0.13459723048417901,-0.6932291246593429,0.5392568376402961,1.0890113926241585,4.308520474048147,-0.3550817216358722,-0.421882196030415,1.436751299121505,0.0610473108936776,2.0998327792198155,-0.4471193609276268,-0.5860417358799755
