,percentage_population_age_range_0_19,percentage_population_age_range_20_39,percentage_population_age_range_40_59,percentage_population_age_range_60_more,percentage_urban_population,average_residents_per_households,percentage_population_in_households_more_2_residents_per_bedroom,percentage_male_population,percentage_indigenous_population,percentage_black_and_brown_population,life_expectancy_at_birth,density_median_effectively_domiciled_area,per_capita_income,gini,per_capita_cash_transfer_program,percentage_estimated_households_in_informal_settlements,percentage_population_in_informal_settlements,demographic_density_in_informal_settlements,percentage_population_in_households_without_bathroom,percentage_hospitalizations_diseases_inadequate_sanitation,activity_rate,percentage_self_employed_workers,unemployment_rate,percentage_informal_workers,percentage_poor_population_spending_more_1_hour_to_work,percentage_workers_agriculture,percentage_workers_commerce,percentage_workers_services,percentage_workers_industry,illiteracy_rate,expected_years_of_schooling_at_age_18
5065,-0.11508902865463894,-0.8280773635132622,-0.31319202611451175,0.8315313633651799,-0.7309932737530438,-0.42015844959049625,-0.5719771952957485,-0.01387039132984448,2.0027370125151034,-1.60451186593408,0.6836143239741119,-0.9515810841145859,1.4099458184511315,1.750311272571141,-0.3201090930927646,-0.23167089155687054,-0.15748288885154807,-0.17494943096987337,0.04666081490031881,-0.1743488971689654,0.9978029804735032,1.5656202552109013,-1.1092722916459483,-0.16634412398770146,0.1216663334321639,0.7601059091463676,-1.0011888802367719,-0.858232096305919,0.09353669293256832,-0.7314846736773803,1.2538336883860934
5066,-1.0234071952105936,-0.4151993966014047,0.37303430548730215,1.1273028436054306,0.7123244822497155,-1.0430469360781132,-1.283392264907255,-0.698812215815266,-0.17849671051979912,-1.8659809756385388,1.261899317334617,-0.3254899996754787,1.358287445741402,-0.6717975972905497,-0.9438458174455008,-0.23167089155687054,-0.15748288885154807,-0.17494943096987337,-0.46537527891203156,-0.25395740318415055,1.2132188496069276,0.8774043910936323,-0.9236791962203947,-1.0635121371495178,-0.8892049315915492,-0.5807694956131166,0.9190073114221173,0.35807377301447646,0.29431975027898943,-1.0978451361567685,1.0625595106158594
5067,-0.2450618800165888,0.15040599520254488,-0.470835903787594,0.42996424154664575,-0.6225666911914324,-0.5758805712123998,-0.856081265302941,0.7027817028076826,-0.15053745060738286,-1.00474601258094,-0.3349134385253615,-0.6464045131087607,0.16022481937534883,-0.06627037982512723,-0.5729924745088726,-0.23167089155687054,-0.15748288885154807,-0.17494943096987337,-0.4390204799658067,0.1096598269933167,0.7423349145665262,0.6967223500716947,-0.7955938205041675,0.04017575411432473,-0.39016721847857694,0.7447628313640767,0.2517050887888864,-1.0877662289066226,-0.2833521744886465,-0.6508060158750602,1.344916630181443
5068,-0.2760749369341763,-0.023921424987791592,-0.1707620869565149,0.4013852621361874,0.07000466389988434,-0.8250359658074465,-0.8776392977154109,-0.03923860705152626,-0.18097613139848312,-1.715580798632133,1.5902159587263864,-0.9153936068533185,0.8303841549029278,-0.8231794016569055,-0.809929071571976,-0.23167089155687054,-0.15748288885154807,-0.17494943096987337,-0.3875658724993699,-0.32280800298106743,0.8029544556291988,-0.3203754314113488,-0.5315811072931689,-0.7765636633042404,-0.6396860750350631,-0.4651484451822825,-0.1477683506105988,0.8160168708992136,0.07558960400774854,-0.9907144594028694,0.9259350979228341
5069,-1.7899636335655482,-1.8247364499271084,0.5821046325120901,2.7225165117512082,0.20879578231954962,-1.2610579063487783,-1.3988817242597724,-1.307649393135642,-0.19283714443929778,-1.7266523060653907,0.3217198442581828,-0.7752720724785943,1.4249699666894193,-0.21765218419148305,-1.0385298495414639,-0.23167089155687054,-0.15748288885154807,-0.17494943096987337,-0.4691402501900637,-0.5379661273464327,1.1515168167395655,1.250949284891796,-0.5995447760405546,-0.23535704807707186,-0.8892049315915492,0.2861143990863129,0.315257681420623,0.054278597513544864,-0.14314054226349215,-1.0608123096245556,1.9187391634921487
5070,-0.6509536167095273,-0.7329441287727269,0.8561718275162908,0.6594966804178352,-1.4762362839696646,-0.7004582685099231,-0.8291337247873537,1.1086731543546,-0.1957740941258979,-1.5787984468079717,-0.17821685967928821,-1.3238238076017088,-0.044638703314950186,-0.36903398855783887,-0.2979104444195485,-0.23167089155687054,-0.15748288885154807,-0.17494943096987337,-0.15790262453941872,-0.39811334650894525,1.818331768428961,3.139990174452618,-1.2974793743310167,-0.7890171232902924,-0.415758896074114,2.1245438976429414,-1.3348399915533873,-1.804497809625486,-1.0046008106548405,0.4152103478736308,0.5798199191005035
5071,-1.584720199353832,-1.9001067927193462,1.5052835689303108,2.020661473215357,-1.5314073353770976,-1.2299134820243967,-1.5289998484636087,0.690097594946844,-0.1839279695530172,-2.176563642910995,0.37395203720687387,-1.1950810748358875,0.3478414431290929,0.0851114245412286,-0.8189897444998194,-0.23167089155687054,-0.15748288885154807,-0.17494943096987337,-0.44906040337389175,0.41303278234848173,2.3368453428757467,0.03997358298633599,-1.6921914505177575,0.8081391199208534,-0.8892049315915492,1.5798646363716187,-1.2849058116284517,-0.7963478938890626,-0.9754367911520083,-0.7751305049474878,1.3995663952586535
5072,-0.3574075928482638,-0.7355411444687088,0.2750994238537728,0.6874550490322797,0.7744324477318592,-0.8873248144562081,-0.6890065141062993,-0.8066271326324169,-0.1892650913113463,-1.3977881151159923,0.5903425508514497,-0.45011100692841693,0.8868173254089351,1.1447840551057178,-0.2233411062233977,-0.23167089155687054,-0.15748288885154807,-0.17494943096987337,-0.44655042252187094,0.05802187714562908,0.5095991765580522,0.6114566677916791,-0.5394230690717134,-0.4465469736738673,-0.20462755591093337,-0.2415778832117595,0.925816517775518,0.703500139232202,-0.49535216241307983,-0.9563268347658141,0.707336037613994
5073,-0.5560016390277175,1.0251230482930933,0.49031856815138514,-0.3608115617425954,0.25098056375962374,-0.3578696009417346,-1.4489271566458635,0.4998359770342239,-0.19253755104315026,-2.080662667359898,0.7806169680216826,-1.1767144309827564,1.296791343089341,-2.7911428584195295,-1.1572246648962117,-0.23167089155687054,-0.15748288885154807,-0.17494943096987337,-0.48294514487618095,-0.2561089844278042,2.4093722937900157,0.629727885423111,-1.4883004442756,-1.089975739619878,-0.8892049315915492,-0.13253243754476435,-0.9013205203869006,-1.2576664937238098,2.4502138073729625,-1.3610427247249948,-0.6680163834957904
5074,-1.8823079869049222,-1.659713962575429,1.010071197464273,2.466252213095246,-0.08827407990992768,-1.136480209051255,-1.407350951278957,-1.0222569662667143,-0.1957740941258979,-1.8941899508805387,0.6798834530492035,-0.6986162997125724,1.1315668745181413,-0.5204157929241939,-1.0466844551765229,-0.23167089155687054,-0.15748288885154807,-0.17494943096987337,-0.4804351640241583,0.3119084638967601,0.3169156353231292,0.9850015615898428,-1.404652851971125,-0.5762705151952404,-0.8892049315915492,0.24008516573944075,1.0302243485276559,-0.4295433486546046,0.02735680252229548,-1.145458770269613,1.2720502767451631
