,percentage_population_age_range_0_19,percentage_population_age_range_20_39,percentage_population_age_range_40_59,percentage_population_age_range_60_more,percentage_urban_population,average_residents_per_households,percentage_population_in_households_more_2_residents_per_bedroom,percentage_male_population,percentage_black_and_brown_population,life_expectancy_at_birth,gini,activity_rate,percentage_self_employed_workers,unemployment_rate,percentage_informal_workers,percentage_workers_agriculture,percentage_workers_commerce,percentage_workers_services,percentage_workers_industry,expected_years_of_schooling_at_age_18,log_density_median_effectively_domiciled_area,sqrt_percentage_indigenous_population,log_per_capita_income,log_per_capita_cash_transfer_program,sqrt_percentage_estimated_households_in_informal_settlements,sqrt_percentage_population_in_informal_settlements,sqrt_demographic_density_in_informal_settlements,sqrt_percentage_population_in_households_without_bathroom,sqrt_percentage_hospitalizations_diseases_inadequate_sanitation,sqrt_percentage_poor_population_spending_more_1_hour_to_work,sqrt_illiteracy_rate
0,0.4138031936098214,0.4142634863724574,0.3798072852837006,0.20548784046252846,0.809510619829012,0.03943462897526502,0.3191519434628975,0.7130742049469965,0.8642471975837641,1.0,0.008197879858657242,0.7339929328621908,0.49088339222614835,0.08579505300353357,0.8243109540636042,0.545017667844523,0.1947703180212014,0.46897526501766784,0.04607773851590106,0.12254416961130742,0.10481833646811202,0.02638492368554176,0.08717308164392931,0.061812553054993676,0.0,0.0,0.0,0.01917266426325166,0.030446161453763977,0.015157321971397327,0.04098939929328621
1,0.35110170190892986,0.3912293525768336,0.3022803365870561,0.13608772686249576,1.0,0.03270536556680823,0.3205598105194381,0.5851544828487423,0.794444796352779,0.8661608729173473,0.006257705325057172,0.7157398052923881,0.3265813760209082,0.060333724926494615,0.5571719137536753,0.1767506579549167,0.21240777131656322,0.47298806664488735,0.1074436197321137,0.10838817902646194,0.09607154771215007,0.0037561297258755936,0.0771778044248407,0.04409403009010724,0.006559889483348506,0.0,0.0,0.00553796975037341,0.017631597794351785,0.004722796471741262,0.028727649416532382
2,0.3896672535693031,0.3531111142133793,0.40211753291516106,0.272581647806127,0.6060236864121545,0.03878391817019463,0.2831368092058531,0.7178576502344083,0.8498450672175412,1.0,0.00724534735047592,0.7704219349339394,0.46853246199744275,0.041199033953686605,0.861201875266373,0.6462565705355875,0.09177439977269498,0.5243642562864043,0.056542122460576785,0.14334422503196476,0.10451444032251388,0.006141459034492254,0.08701598683008778,0.05120628352731192,0.0,0.0,0.0,0.0034798831407632093,0.03882838576137647,0.011453697610880168,0.04532762078006485
3,0.3475546237605085,0.42001538187393883,0.3321045064521632,0.1691481179419315,1.0,0.034388259233539505,0.2601325882979926,0.6212727572229131,0.7673458746327614,0.9424413333118005,0.007232954894139306,0.7663125369422328,0.3168541819415061,0.07968939778104359,0.570134497181893,0.2498541787115841,0.2410984964713102,0.4957746451123205,0.1323503851681982,0.1235947029279243,0.10023594601079115,0.017686818578078724,0.08380108039995685,0.042997376541038884,0.017527360001679378,0.0,0.0,0.013900535273464888,0.018168448058427288,0.008320992467959261,0.03182483962765055
4,0.33594527813211983,0.3635195476425217,0.3080737119154064,0.1734726281328247,1.0,0.031769200360635276,0.19675646022609058,0.584600527082322,0.7138837160307547,0.8614295443512033,0.005905055829114363,0.7107325195922048,0.3361157777931896,0.06755383868506831,0.6431786809071365,0.3149756779249602,0.1662863721478605,0.45339018655940083,0.08113546709203136,0.1206993411470976,0.08950584020830382,0.00449320230556021,0.07509051076191987,0.044795921445819814,0.0,0.0,0.0,0.0020455713435114055,0.030017205790574552,0.007280241768261232,0.033089395407466506
5,0.3609592964288306,0.3776535557652227,0.3836219697248655,0.23259514691999178,0.9952618409140446,0.03536106218669557,0.19956645440997156,0.6748408074786615,0.8679284879863135,1.0,0.006638666847310662,0.7604660615092806,0.3518493429074651,0.09185747188727815,0.6967890529738517,0.3206882536241702,0.2243598428397236,0.5038612654111908,0.1124508874136296,0.14090231675924672,0.09862837172938314,0.0039031837485382624,0.08512441144202727,0.04088190984061108,0.0,0.0,0.0,0.005586107066275141,0.03798359509247036,0.006774149844194553,0.04182454691893546
6,0.38363274898365707,0.41080906210913687,0.40243280121429725,0.2027055136551201,0.4127191763909971,0.03694891532540238,0.20237928621413576,0.7287613715885234,0.980953220351224,1.0,0.006717984604618614,0.8018194541637508,0.4890132960111966,0.052484254723582924,0.7935619314205739,0.7172848145556333,0.1079076277116865,0.4013995801259622,0.04828551434569629,0.13743876836948915,0.10231719422573848,0.015054881823303907,0.08393037303499058,0.06001002036672694,0.0,0.0,0.0,0.016560055376066137,0.019891771033662554,0.01162578567238359,0.04075638846343188
7,0.4861561070805409,0.4238141286136064,0.3476678549147078,0.14806219885896937,0.770473393050174,0.04231157871298152,0.508582364729459,0.7280121799153862,1.0,0.9845524827432643,0.007309641505232688,0.8175552883544867,0.5216553774215097,0.06620848363393453,0.8999293253173014,0.490448830995324,0.12398276553106212,0.5617178356713427,0.07871921621019817,0.12960556668893342,0.10292298389391265,0.043640320671281665,0.08315535223316622,0.07019539778023684,0.0,0.0,0.0,0.030668759554529194,0.026597097637974586,0.016211326577634542,0.03740325198558846
8,0.39412097752370406,0.4202244388449691,0.3563191284398334,0.1787330146004366,0.9674896486001078,0.03776129467296021,0.26931894807821977,0.6767363452461227,0.7708220648595507,1.0,0.007012811867835468,0.8525960890087659,0.3781523937963587,0.06608226567768037,0.7851652056641941,0.40026972353337825,0.22737693863789613,0.4241402562373567,0.14079568442346593,0.12879298718813217,0.1038737984155848,0.021129070849398624,0.08606173365687424,0.05299617586784546,0.0,0.0,0.0,0.018043274659824242,0.0382399106642153,0.009818084813594764,0.038120820027248994
9,0.4243215846846099,0.34840932666705177,0.2829211104113031,0.12755181936784804,1.0,0.03904473542193313,0.5134974294884539,0.5926517567529185,0.816238822750136,0.880162990314426,0.006389138523589058,0.6063765728406282,0.3095182662538699,0.08542514840798704,0.6001057516971056,0.13405359161530375,0.21604753600136337,0.6109909506632203,0.04922003010764904,0.09666529951430113,0.0895458582818529,0.04410469437277741,0.07340328979729781,0.053035025191795655,0.0321416603469978,0.0,0.0,0.05051750332530203,0.031034357845692518,0.006147951410806585,0.02859268685636695
10,0.380656989238894,0.4292571428583556,0.3523776422092292,0.1798099570047546,0.9062960984556847,0.03569990605287881,0.2562072205073144,0.6620587840558314,0.9228027164389481,1.0,0.0065762984834250434,0.76942692256073,0.4339014897329217,0.0752919071265602,0.6856797745269091,0.3151254865118776,0.2392967386927929,0.46678298215004693,0.14186015299959737,0.12642598308951816,0.10660642776220193,0.004884118653025175,0.0852853776596725,0.051823394049468764,0.0,0.0,0.0,0.005533627198520576,0.017029361884914135,0.006710508656556167,0.037023524960766926
11,0.32307814283777475,0.36081427098020086,0.28759598584772866,0.14058697846471976,1.0,0.03058207289858666,0.25911356310438877,0.5470298785023555,0.7323170162742672,0.8184874783039919,0.0058939995040912475,0.6875962062980411,0.2459910736424498,0.06917108851971236,0.4551724522687825,0.1353395735184726,0.2555549218943714,0.4797493181254649,0.09830746342672947,0.11065150012397718,0.08882846400417539,0.012508504245750807,0.07352116038138166,0.0377308173989152,0.0,0.0,0.0,0.010666652309475609,0.015727120821332336,0.007120756807559218,0.026386903135088242
12,0.4337177717415505,0.41011711270427925,0.3553012423743153,0.16823262234492584,0.7102763700095293,0.038423061851538494,0.394759357883956,0.7130828026895845,1.0,0.9615337044128778,0.0075205281204078905,0.8138578795030502,0.49211601282450906,0.052643696842855234,0.9307679075566637,0.6611227902213118,0.1366001380415906,0.3780774591441421,0.09120349556931023,0.10665476243487552,0.10211723774633062,0.004996419375871311,0.0819738694671049,0.05631575537603741,0.0,0.0,0.0,0.024989575765277536,0.029038482752774052,0.010679491330011382,0.03951198858981111
