,percentage_population_age_range_0_19,percentage_population_age_range_20_39,percentage_population_age_range_40_59,percentage_population_age_range_60_more,percentage_urban_population,average_residents_per_households,percentage_population_in_households_more_2_residents_per_bedroom,percentage_male_population,percentage_black_and_brown_population,life_expectancy_at_birth,gini,activity_rate,percentage_self_employed_workers,unemployment_rate,percentage_informal_workers,percentage_workers_agriculture,percentage_workers_commerce,percentage_workers_services,percentage_workers_industry,expected_years_of_schooling_at_age_18,log_density_median_effectively_domiciled_area,sqrt_percentage_indigenous_population,log_per_capita_income,log_per_capita_cash_transfer_program,sqrt_percentage_estimated_households_in_informal_settlements,sqrt_percentage_population_in_informal_settlements,sqrt_demographic_density_in_informal_settlements,sqrt_percentage_population_in_households_without_bathroom,sqrt_percentage_hospitalizations_diseases_inadequate_sanitation,sqrt_percentage_poor_population_spending_more_1_hour_to_work,sqrt_illiteracy_rate
0,29.276575947894862,29.309141660851363,26.87136543382182,14.538264712723889,57.27287635290259,2.79,22.58,50.45,61.145489229051314,70.75,0.58,51.93,34.73,6.07,58.32,38.56,13.78,33.18,3.26,8.67,7.415897305118926,1.8667333507520796,6.167495526307999,4.373238128640803,0.0,0.0,0.0,1.356465996625055,2.1540659228538015,1.0723805294763609,2.8999999999999995
1,29.736763293505312,33.1353980564477,25.601809300548368,11.52602934949862,84.69558288047989,2.77,27.15,49.56,67.28596509346276,73.36,0.53,60.62,27.66,5.11,47.19,14.97,17.99,40.06,9.1,9.18,8.136835731710384,0.31812759650773054,6.536619131197564,3.734569580031052,0.5555936634237318,0.0,0.0,0.4690415759823417,1.493318452306808,0.4,2.433105012119288
2,27.428677978743245,24.85549132947977,28.30505314189819,19.18702218907328,42.65800728655156,2.73,19.93,50.53,59.82059428144272,70.39,0.51,54.23,32.98,2.9,60.62,45.49,6.46,36.91,3.98,10.09,7.356771454301752,0.43229730143790973,6.125055312969879,3.6044102974874863,0.0,0.0,0.0,0.2449489742783223,2.7331300737432898,0.806225774829855,3.1906112267087647
3,27.389377984924334,33.09971805052074,26.171816560216357,13.329880890730191,78.80596635019218,2.71,20.5,48.96,60.47143317526818,74.27,0.57,60.39,24.97,6.28,44.93,19.69,19.0,39.07,10.43,9.74,7.899190588406087,1.393826829706026,6.604025122108749,3.3884498088396526,1.3812605425000493,0.0,0.0,1.0954451150103335,1.4317821063276353,0.6557438524302001,2.5079872407968917
4,28.44556324732536,30.780365009439898,26.08558842039018,14.688483322844556,84.67320453344294,2.69,16.66,49.5,60.4468219005664,72.94,0.5,60.18,28.46,5.72,54.46,26.67,14.08,38.39,6.87,10.22,7.578746314895371,0.380453837828837,6.3581541762647396,3.793014218845944,0.0,0.0,0.0,0.1732050807568909,2.541653005427767,0.6164414002968976,2.801785145224379
5,26.64240566941199,27.87460895103109,28.315137585392325,17.167847794164594,73.46027647786563,2.61,14.73,49.81,64.0618016982698,73.81,0.49,56.13,25.97,6.78,51.43,23.67,16.56,37.19,8.3,10.4,7.27976011734577,0.28809399247960915,6.283032808536033,3.017493765335504,0.0,0.0,0.0,0.4123105625617681,2.8035691537752374,0.5,3.087069808086626
6,27.4105599148823,29.352307487697832,28.75382364676154,14.483308950658332,29.488785153136742,2.64,14.46,52.07,70.08910759409495,71.45,0.48,57.29,34.94,3.75,56.7,51.25,7.71,28.68,3.45,9.82,7.310563527429015,1.0756713062750642,5.996825153350078,4.28771595520264,0.0,0.0,0.0,1.1832159566199256,1.4212670403551895,0.8306623862918074,2.912043955712208
7,34.584620258176926,30.14967925873129,24.73271560940841,10.532984873683375,54.81064483111566,3.01,36.18,51.79,71.13891968952954,70.04,0.52,58.16,37.11,4.71,64.02000000000001,34.89,8.82,39.96,5.6,9.22,7.321829885435794,3.1045252674596227,5.915581924269754,4.993624765262849,0.0,0.0,0.0,2.1817424229271443,1.8920887928424501,1.1532562594670797,2.660826939130014
8,29.224070483382658,31.15964214035446,26.42106337381365,13.253053032622375,71.739357443698,2.8,19.97,50.18,57.15645610933569,74.15,0.52,63.22,28.04,4.9,58.22,29.68,16.86,31.45,10.44,9.55,7.702242152515614,1.566720603482908,6.381477550657225,3.9296664406007413,0.0,0.0,0.0,1.3379088160259676,2.835489375751565,0.7280109889280518,2.826658805020513
9,35.862997004011575,29.44701162849744,23.912049966993347,10.78048037373686,84.51843671980028,3.3,43.4,50.09,68.98722928885165,74.39,0.54,51.25,26.16,7.22,50.72,11.33,18.26,51.64,4.16,8.17,7.568275956714988,3.727659820391719,6.203931303758076,4.482437420605795,2.7165628861070474,0.0,0.0,4.269660408041839,2.6229754097208002,0.5196152422706632,2.416609194718915
